INTF ID,Gregory-Aland,Unambiguous Agreements (A),Ambiguous Agreements (≟),Unambiguous Disagreements (D),Similarity Lower Bound,Similarity Mean,Similarity Upper Bound,Highest Credible Rank,Rank,Lowest Credible Rank
20001,01,16,6,17,0.3242692700213209,0.4848484848484849,0.6487071629485879,1,1,27
20044,044,8,3,9,0.26019058289509706,0.4705882352941176,0.6924283410012441,1,2,30
20037,037,15,7,17,0.3079634436047323,0.46875,0.6364934689851536,1,3,27
20003,03,14,7,18,0.2810661942938161,0.4375,0.6078469838121147,1,4,30
30565,565,14,7,18,0.2810661942938161,0.4375,0.6078469838121147,1,5,30
30892,892,14,6,19,0.27185019641486696,0.42424242424242425,0.593030567029152,1,6,30
20038,038,14,6,19,0.27185019641486696,0.42424242424242425,0.593030567029152,1,7,30
20019,019,11,8,16,0.24462393630214666,0.4074074074074074,0.5942317935124368,1,8,32
31582,1582,12,7,20,0.2290662383642008,0.375,0.5487546447826517,1,9,35
30001,1,12,7,20,0.2290662383642008,0.375,0.5487546447826517,1,10,35
32427,2427,11,8,20,0.21100031642399286,0.3548387096774194,0.5319310362802687,1,11,37
20004,04,8,5,15,0.18799292819600227,0.3478260869565217,0.5532196156596481,1,12,48
20005,05,11,6,21,0.20400307445512,0.34375,0.5182674724875822,1,13,45
30028,28,11,6,22,0.1974586479123424,0.3333333333333333,0.5052653008985046,1,14,48
32193,2193,10,5,21,0.1857190917165661,0.3225806451612903,0.5000775816321696,1,15,53
31342,1342,10,7,22,0.1796051349325601,0.3125,0.4871106975383933,1,16,60
30788,788,10,7,22,0.1796051349325601,0.3125,0.4871106975383933,1,17,60
30983,983,10,7,22,0.1796051349325601,0.3125,0.4871106975383933,1,18,60
30069,69,10,7,22,0.1796051349325601,0.3125,0.4871106975383933,1,19,60
30209,209,10,6,23,0.1738834274939214,0.30303030303030304,0.4747810603404857,1,20,68
30205,205,10,6,23,0.1738834274939214,0.30303030303030304,0.4747810603404857,1,21,68
30826,826,10,6,23,0.1738834274939214,0.30303030303030304,0.4747810603404857,1,22,68
20032,032,10,6,23,0.1738834274939214,0.30303030303030304,0.4747810603404857,1,23,68
30346,346,8,7,23,0.13745690329550173,0.25806451612903225,0.4340493749222428,1,24,144
30579,579,8,8,23,0.13745690329550173,0.25806451612903225,0.4340493749222428,1,25,144
30543,543,8,6,24,0.1329963887108149,0.25,0.4225893177117019,1,26,173
30013,13,8,4,24,0.1329963887108149,0.25,0.4225893177117019,1,27,173
30828,828,8,5,26,0.12489397191676199,0.2352941176470588,0.4013632561073146,3,28,181
30700,700,8,4,27,0.12120329412383522,0.22857142857142854,0.3915176491573813,3,29,186
32542,2542,8,4,27,0.12120329412383522,0.22857142857142854,0.3915176491573813,3,30,186
30118,118,7,3,29,0.09826563583544924,0.19444444444444445,0.35155237836925424,8,31,401
31241,1241,6,3,30,0.07962112085287684,0.16666666666666666,0.32013707586767115,9,32,554
30033,33,4,5,20,0.06831146401248403,0.16666666666666666,0.36082845445927214,8,33,924
30873,873,6,1,32,0.07535047731665301,0.15789473684210525,0.3052799244367127,11,34,922
30184,184,5,4,30,0.06372013360838567,0.14285714285714285,0.29497494811063163,12,35,932
30115,115,5,2,31,0.061925721333396334,0.1388888888888889,0.2877477973105722,12,36,934
30555,555,5,3,31,0.061925721333396334,0.1388888888888889,0.2877477973105722,12,37,934
30348,348,5,3,31,0.061925721333396334,0.1388888888888889,0.2877477973105722,12,38,934
30829,829,5,3,31,0.061925721333396334,0.1388888888888889,0.2877477973105722,12,39,934
31579,1579,5,3,31,0.061925721333396334,0.1388888888888889,0.2877477973105722,12,40,934
30061,61,5,3,31,0.061925721333396334,0.1388888888888889,0.2877477973105722,12,41,934
30513,513,5,2,32,0.060229727917384665,0.13513513513513514,0.28086384588375324,13,42,937
