INTF ID,Gregory-Aland,Unambiguous Agreements (A),Ambiguous Agreements (≟),Unambiguous Disagreements (D),Similarity Lower Bound,Similarity Mean,Similarity Upper Bound,Rank
20024,024,7,11,3,0.3902574404275788,0.7,0.8907365561809019,1
31231,1231,32,52,15,0.537486421894564,0.6808510638297872,0.7960402644190007,2
32457,2457,25,41,12,0.5134729455939783,0.6756756756756757,0.8036709070509505,3
30085,85,14,27,7,0.4512755724262295,0.6666666666666666,0.8280205623536676,4
32380,2380,8,10,4,0.3857383382492947,0.6666666666666666,0.8614206611098394,5
32222,2222,20,40,10,0.4862701704072501,0.6666666666666666,0.8077325655740221,6
31032,1032,33,54,17,0.5207874457693702,0.66,0.7756937966643029,7
32782,2782,31,63,17,0.5036128022805357,0.6458333333333334,0.7657758444633889,8
32697,2697,23,36,13,0.4746112556260258,0.6388888888888888,0.7754238564195681,9
20133,0133,17,29,10,0.44065031274666655,0.6296296296296297,0.784957170839039,10
32275,2275,8,23,5,0.3513801106159915,0.6153846153846154,0.8233889100178822,11
30084,84,25,51,16,0.4563674954978985,0.6097560975609756,0.7437090745163419,12
30936,936,31,60,20,0.4701848218422533,0.6078431372549019,0.7299402604083105,13
32316,2316,20,46,13,0.4356397117713901,0.6060606060606061,0.7535292647022493,14
30722,722,29,55,19,0.4623854909202296,0.6041666666666666,0.7300329393687017,15
32549,2549,35,76,23,0.474378508776451,0.603448275862069,0.7193037988375728,16
32486,2486,6,16,4,0.3079047150116772,0.6,0.8325119059362929,17
30798,798,27,51,18,0.4537413794124601,0.6,0.7300254221893003,18
31312,1312,36,72,24,0.4731360703943019,0.6,0.7144956175926762,19
32785,2785,25,41,17,0.4440995244656957,0.5952380952380952,0.7298858772954422,20
32748,2748,22,46,15,0.4338615386095295,0.5945945945945946,0.7369017627485157,21
32522,2522,16,42,11,0.4057682064875632,0.5925925925925926,0.7553760636978534,22
31290,1290,33,82,23,0.4582134014026768,0.5892857142857143,0.7085659233267534,23
32591,2591,40,81,28,0.4691850061252455,0.5882352941176471,0.6976019738164841,24
31241,1241,47,105,33,0.4776978653201566,0.5875,0.6890878290277171,25
30493,493,17,42,12,0.4060349300518186,0.5862068965517241,0.745392450096737,26
30115,115,46,101,33,0.4718483404252045,0.5822784810126582,0.6848902345476577,27
30749,749,33,78,24,0.4492661909485596,0.5789473684210527,0.6983754577077997,28
31068,1068,45,103,33,0.4658698978021979,0.5769230769230769,0.680576452691378,29
30391,391,42,90,31,0.46061648954888,0.5753424657534246,0.6823437465077054,30
31800,1800,43,101,32,0.4601663468529002,0.5733333333333334,0.6791744264083927,31
31704,1704,45,104,34,0.4593888114309382,0.569620253164557,0.6732360465662212,32
30292,292,45,106,34,0.4593888114309382,0.569620253164557,0.6732360465662212,33
31065,1065,45,106,34,0.4593888114309382,0.569620253164557,0.6732360465662212,34
32477,2477,45,106,34,0.4593888114309382,0.569620253164557,0.6732360465662212,35
31071,1071,46,104,35,0.4590540283737463,0.5679012345679012,0.6704497925744981,36
30954,954,42,103,32,0.4537647102239674,0.5675675675675675,0.6745328019841268,37
31138,1138,43,101,33,0.4535096448090845,0.5657894736842105,0.6715801910699911,38
32688,2688,35,72,27,0.4404709678767688,0.5645161290322581,0.680826873728043,39
30901,901,44,107,34,0.45328583538067996,0.5641025641025641,0.6687527106347184,40
31543,1543,44,103,34,0.45328583538067996,0.5641025641025641,0.6687527106347184,41
31026,1026,40,88,31,0.4473357903160443,0.5633802816901409,0.672750784365005,42
30131,131,45,104,35,0.4530902754892442,0.5625,0.6660422094368794,43
31454,1454,45,105,35,0.4530902754892442,0.5625,0.6660422094368794,44
30414,414,41,90,32,0.44721419474539137,0.5616438356164384,0.6697531813687512,45
32123,2123,41,102,32,0.44721419474539137,0.5616438356164384,0.6697531813687512,46
30330,330,46,103,36,0.4529202919793482,0.5609756097560976,0.6634412390850981,47
31384,1384,37,80,29,0.4404098313666705,0.5606060606060606,0.6739578629528771,48
32418,2418,37,101,29,0.4404098313666705,0.5606060606060606,0.6739578629528771,49
31462,1462,42,104,33,0.4471191165936313,0.56,0.6668868921790785,50
32315,2315,43,98,34,0.44704773760683664,0.5584415584415584,0.6641430590228188,51
30038,38,43,97,34,0.44704773760683664,0.5584415584415584,0.6641430590228188,52
31473,1473,44,106,35,0.4469975713881803,0.5569620253164557,0.6615136155101846,53
31424,1424,44,106,35,0.4469975713881803,0.5569620253164557,0.6615136155101846,54
32095,2095,44,106,35,0.4469975713881803,0.5569620253164557,0.6615136155101846,55
31457,1457,44,106,35,0.4469975713881803,0.5569620253164557,0.6615136155101846,56
30551,551,44,106,35,0.4469975713881803,0.5569620253164557,0.6615136155101846,57
31453,1453,44,106,35,0.4469975713881803,0.5569620253164557,0.6615136155101846,58
31570,1570,44,106,35,0.4469975713881803,0.5569620253164557,0.6615136155101846,59
30245,245,44,106,35,0.4469975713881803,0.5569620253164557,0.6615136155101846,60
30752,752,45,104,36,0.4469664184367155,0.5555555555555556,0.6589911997824365,61
32534,2534,20,51,16,0.39488442141776015,0.5555555555555556,0.7051268717713555,62
