INTF ID,Gregory-Aland,Unambiguous Agreements (A),Ambiguous Agreements (≟),Unambiguous Disagreements (D),Similarity Lower Bound,Similarity Mean,Similarity Upper Bound,Highest Credible Rank,Rank,Lowest Credible Rank
20001,01,13,7,5,0.4879706546541272,0.7222222222222222,0.8742393641270166,1,1,6
20003,03,12,7,6,0.43449843115384906,0.6666666666666666,0.8371141278449004,1,2,6
20019,019,11,7,7,0.3835779233144053,0.6111111111111112,0.7974785610228372,1,3,7
10075,P75,7,4,6,0.2886094000383075,0.5384615384615384,0.7696394585519376,1,4,15
31241,1241,9,6,10,0.27195784956079183,0.4736842105263158,0.6847218669594515,1,5,21
30033,33,5,4,6,0.21094463823929674,0.4545454545454545,0.7233303143178942,1,6,25
30579,579,7,4,14,0.17197943764633242,0.3333333333333333,0.5487244275737705,3,7,33
32542,2542,6,3,16,0.1321028796980999,0.2727272727272727,0.4840519704024381,4,8,80
31582,1582,5,6,14,0.11893159040572768,0.2631578947368421,0.4910458717079576,4,9,128
30001,1,5,6,14,0.11893159040572768,0.2631578947368421,0.4910458717079576,4,10,128
30157,157,6,2,17,0.1261520885236913,0.2608695652173913,0.4671128024226694,4,11,104
32193,2193,4,6,14,0.09146578490766648,0.2222222222222222,0.4556530818915057,4,12,438
30205,205,5,2,18,0.09773040947453304,0.21739130434782608,0.4215128436372526,4,13,438
30209,209,5,2,18,0.09773040947453304,0.21739130434782608,0.4215128436372526,4,14,438
30118,118,4,3,15,0.08657146910143458,0.21052631578947367,0.4366140029966683,4,15,446
30079,79,5,1,19,0.09356443933174287,0.20833333333333331,0.4070374322786772,5,16,446
20005,05,4,4,17,0.0782062603518925,0.19047619047619047,0.40284578307787133,5,17,469
30131,131,4,4,17,0.0782062603518925,0.19047619047619047,0.40284578307787133,5,18,469
31612,1612,3,3,14,0.0640920477176665,0.17647058823529413,0.414177491394774,5,19,573
31210,1210,4,2,19,0.07131861719805495,0.17391304347826084,0.37384171348868267,6,20,512
30022,22,4,2,19,0.07131861719805495,0.17391304347826084,0.37384171348868267,6,21,512
30892,892,4,2,19,0.07131861719805495,0.17391304347826084,0.37384171348868267,6,22,512
30788,788,3,1,21,0.0453794523717096,0.125,0.3121903072862354,7,23,1681
30130,130,3,0,22,0.04356347653892385,0.12,0.3015404001075678,7,24,1681
31228,1228,2,0,17,0.03207093718546372,0.10526315789473684,0.3169827140190823,7,25,1681
30898,898,1,0,9,0.022831198299959662,0.1,0.4127799169883827,5,26,1681
20027,027,1,2,9,0.022831198299959662,0.1,0.4127799169883827,5,27,1681
32751,2751,2,0,18,0.030488967621515563,0.1,0.3037744069139241,7,28,1681
30589,589,1,2,10,0.020862525460092384,0.09090909090909093,0.3847961651509441,6,29,1681
20032,032,2,3,20,0.0277515074227932,0.09090909090909093,0.2803793359094109,7,30,1681
30213,213,2,2,21,0.026559314986248944,0.08695652173913042,0.2699728015576036,8,31,1681
31342,1342,2,2,21,0.026559314986248944,0.08695652173913042,0.2699728015576036,8,32,1681
32786,2786,2,2,21,0.026559314986248944,0.08695652173913042,0.2699728015576036,8,33,1681
31279,1279,2,1,21,0.026559314986248944,0.08695652173913042,0.2699728015576036,8,34,1681
30660,660,2,1,22,0.025465396647733216,0.08333333333333333,0.26030584210521424,8,35,1681
31627,1627,2,1,22,0.025465396647733216,0.08333333333333333,0.26030584210521424,8,36,1681
30700,700,2,1,22,0.025465396647733216,0.08333333333333333,0.26030584210521424,8,37,1681
32726,2726,2,1,22,0.025465396647733216,0.08333333333333333,0.26030584210521424,8,38,1681
30657,657,2,1,22,0.025465396647733216,0.08333333333333333,0.26030584210521424,8,39,1681
30069,69,2,1,22,0.025465396647733216,0.08333333333333333,0.26030584210521424,8,40,1681
30348,348,2,1,22,0.025465396647733216,0.08333333333333333,0.26030584210521424,8,41,1681
30152,152,2,1,22,0.025465396647733216,0.08333333333333333,0.26030584210521424,8,42,1681
30555,555,2,1,22,0.025465396647733216,0.08333333333333333,0.26030584210521424,8,43,1681
30829,829,2,1,22,0.025465396647733216,0.08333333333333333,0.26030584210521424,8,44,1681
31215,1215,2,0,22,0.025465396647733216,0.08333333333333333,0.26030584210521424,8,45,1681
31216,1216,2,1,22,0.025465396647733216,0.08333333333333333,0.26030584210521424,8,46,1681
30184,184,2,1,22,0.025465396647733216,0.08333333333333333,0.26030584210521424,8,47,1681
30792,792,2,1,22,0.025465396647733216,0.08333333333333333,0.26030584210521424,8,48,1681
31015,1015,2,0,23,0.024458075317962232,0.08,0.25130291669537386,8,49,1681
32750,2750,2,0,23,0.024458075317962232,0.08,0.25130291669537386,8,50,1681
30744,744,2,0,23,0.024458075317962232,0.08,0.25130291669537386,8,51,1681
30222,222,2,0,23,0.024458075317962232,0.08,0.25130291669537386,8,52,1681
31208,1208,2,0,23,0.024458075317962232,0.08,0.25130291669537386,8,53,1681
31563,1563,2,0,23,0.024458075317962232,0.08,0.25130291669537386,8,54,1681
31416,1416,2,0,23,0.024458075317962232,0.08,0.25130291669537386,8,55,1681
30248,248,2,0,23,0.024458075317962232,0.08,0.25130291669537386,8,56,1681
32202,2202,1,0,12,0.017794515483191525,0.07692307692307693,0.3386844899318212,7,57,1681
20009,09,1,0,12,0.017794515483191525,0.07692307692307693,0.3386844899318212,7,58,1681
30859,859,1,1,13,0.01657591344008363,0.07142857142857142,0.3194845665783033,7,59,1681
31096,1096,1,0,16,0.013751215664364495,0.05882352941176471,0.27294359967336845,8,60,1681
30145,145,1,1,16,0.013751215664364495,0.05882352941176471,0.27294359967336845,8,61,1681
