INTF ID,Gregory-Aland,Unambiguous Agreements (A),Ambiguous Agreements (≟),Unambiguous Disagreements (D),Similarity Lower Bound,Similarity Mean,Similarity Upper Bound,Highest Credible Rank,Rank,Lowest Credible Rank
32146,2146,7,11,14,0.17197943764633242,0.3333333333333333,0.5487244275737705,3,679,1652
32147,2147,7,11,14,0.17197943764633242,0.3333333333333333,0.5487244275737705,3,680,1652
32148,2148,7,11,14,0.17197943764633242,0.3333333333333333,0.5487244275737705,3,681,1652
32159,2159,7,11,14,0.17197943764633242,0.3333333333333333,0.5487244275737705,3,682,1652
32174,2174,7,11,14,0.17197943764633242,0.3333333333333333,0.5487244275737705,3,683,1652
32176,2176,7,11,14,0.17197943764633242,0.3333333333333333,0.5487244275737705,3,684,1652
32695,2695,7,11,14,0.17197943764633242,0.3333333333333333,0.5487244275737705,3,685,1652
32694,2694,7,10,14,0.17197943764633242,0.3333333333333333,0.5487244275737705,3,686,1652
32178,2178,7,11,14,0.17197943764633242,0.3333333333333333,0.5487244275737705,3,687,1652
32182,2182,7,11,14,0.17197943764633242,0.3333333333333333,0.5487244275737705,3,688,1652
32191,2191,7,11,14,0.17197943764633242,0.3333333333333333,0.5487244275737705,3,689,1652
32195,2195,7,11,14,0.17197943764633242,0.3333333333333333,0.5487244275737705,3,690,1652
32201,2201,7,11,14,0.17197943764633242,0.3333333333333333,0.5487244275737705,3,691,1652
32277,2277,7,11,14,0.17197943764633242,0.3333333333333333,0.5487244275737705,3,692,1652
32204,2204,7,11,14,0.17197943764633242,0.3333333333333333,0.5487244275737705,3,693,1652
32691,2691,7,11,14,0.17197943764633242,0.3333333333333333,0.5487244275737705,3,694,1652
32215,2215,7,11,14,0.17197943764633242,0.3333333333333333,0.5487244275737705,3,695,1652
32689,2689,7,11,14,0.17197943764633242,0.3333333333333333,0.5487244275737705,3,696,1652
32221,2221,7,11,14,0.17197943764633242,0.3333333333333333,0.5487244275737705,3,697,1652
32229,2229,7,11,14,0.17197943764633242,0.3333333333333333,0.5487244275737705,3,698,1652
32238,2238,6,10,12,0.16288587215509964,0.3333333333333333,0.5655015688461509,3,699,1652
32255,2255,7,11,14,0.17197943764633242,0.3333333333333333,0.5487244275737705,3,700,1652
