INTF ID,Gregory-Aland,Unambiguous Agreements (A),Ambiguous Agreements (≟),Unambiguous Disagreements (D),Similarity Lower Bound,Similarity Mean,Similarity Upper Bound,Highest Credible Rank,Rank,Lowest Credible Rank
30112,112,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1623,1700
31120,1120,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1624,1700
30219,219,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1625,1700
30371,371,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1626,1700
30593,593,0,2,34,0.0007231043763380954,0.0,0.10003243557210502,32,1627,1700
31553,1553,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1628,1700
31554,1554,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1629,1700
31555,1555,0,1,35,0.0007030252059047808,0.0,0.09739375591449193,38,1630,1700
31556,1556,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1631,1700
31557,1557,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1632,1700
31558,1558,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1633,1700
31113,1113,0,1,35,0.0007030252059047808,0.0,0.09739375591449193,38,1634,1700
31561,1561,0,1,35,0.0007030252059047808,0.0,0.09739375591449193,38,1635,1700
30111,111,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1636,1700
31563,1563,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1637,1700
31564,1564,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1638,1700
30113,113,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1639,1700
31122,1122,0,0,35,0.0007030252059047808,0.0,0.09739375591449193,38,1640,1700
31540,1540,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1641,1700
30125,125,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1642,1700
31509,1509,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1643,1700
31510,1510,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1644,1700
31138,1138,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1645,1700
31512,1512,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1646,1700
31137,1137,0,0,35,0.0007030252059047808,0.0,0.09739375591449193,38,1647,1700
31135,1135,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1648,1700
30399,399,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1649,1700
30375,375,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1650,1700
31538,1538,0,1,35,0.0007030252059047808,0.0,0.09739375591449193,38,1651,1700
30122,122,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1652,1700
31530,1530,0,1,35,0.0007030252059047808,0.0,0.09739375591449193,38,1653,1700
30374,374,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1654,1700
31127,1127,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1655,1700
31125,1125,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1656,1700
30117,117,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1657,1700
30600,600,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1658,1700
31565,1565,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1659,1700
31568,1568,0,1,35,0.0007030252059047808,0.0,0.09739375591449193,38,1660,1700
